protein,l2FC,Q1,Q3,p,padj
ANXA11A,-0.45155824082941187,-0.5250771799645193,-0.042361765029342635,0.2222222222222222,0.42818428184281837
ANXA11B,-0.29155782807098163,-0.5586687943094049,-0.1335096067970163,0.15079365079365079,0.33874971789663727
ANXA13,0.009133454516902617,-0.6056036125943827,0.12796812529585466,0.5476190476190477,0.6959019532746075
ANXA1A,-1.3627541683031446,-1.6518416138553391,-0.4854239525052151,0.031746031746031744,0.16535845107273678
ANXA2A,-0.4967956961039697,-0.9494005605409157,-0.17871583446058636,0.15079365079365079,0.33874971789663727
ANXA4,1.0878786376012535,0.6979573081109169,1.1996248735837725,0.015873015873015872,0.1122956645344705
ANXA5B,-0.7030363761895408,-1.5391725170808783,0.09590198766249713,0.42063492063492064,0.6078687572590011
APOA1,0.05053974001228667,-0.4878512319263244,0.5275508122810102,0.8412698412698413,0.8900935374149659
APOB,0.9527183794883953,-0.2817479274052417,1.984653041320442,0.5476190476190477,0.6959019532746075
APOC2,0.09358288546081539,-0.7835436236755573,0.8706851990040718,0.8412698412698413,0.8900935374149659
APOD,1.229453332177453,0.7219014536529098,1.9369919399772062,0.007936507936507936,0.08956916099773243
APOEA,0.013475843634651596,-1.030766182725067,0.9604620182579211,1,1
APOEB,-0.04495295225883211,-0.7178734134920468,0.630839824877075,0.6904761904761905,0.8081128747795414
APOH,-0.261347195135194,-0.7985928333360306,-0.18517962982713598,0.2222222222222222,0.42818428184281837
ARID1A,-0.12681017581056508,-0.3870853847775688,0.35779346882658203,0.8412698412698413,0.8900935374149659
ARPC5B,0.3848118491108412,0.20949222209563523,0.7007366220479732,0.09523809523809523,0.28937728937728935
ATIC,-0.31860463241400616,-0.8446398521511522,0.02851648028638465,0.30952380952380953,0.5024461839530333
ATP5B,0.7209136714864552,-0.1289186843658019,1.0488864619811942,0.5476190476190477,0.6959019532746075
B2M,0.35603676553667896,-1.0207150385923889,0.4575591701883095,0.8412698412698413,0.8900935374149659
BHMT,-1.4603609587311013,-1.753738745193921,-0.9721317033136572,0.015873015873015872,0.1122956645344705
BLVRB,0.22909875882702124,-0.3068892203342948,1.1164818304938677,0.6904761904761905,0.8081128747795414
BTD,-0.1566718936788991,-0.33598929892117013,0.7732791747783558,1,1
BX571880.1,2.730146417023395,2.1579491732759806,3.1419143425347063,0.007936507936507936,0.08956916099773243
C1QB,1.483069613044922,0.5261180054284189,1.6093706416890896,0.15079365079365079,0.33874971789663727
C1QC,0.9158186579122329,0.5327687408855191,1.013956024933595,0.15079365079365079,0.33874971789663727
C1S,-0.06068225235975078,-0.3652278322406204,0.4065126042941074,1,1
C2,0.1130717127519425,-0.10137260579213958,0.5217348614227681,0.5476190476190477,0.6959019532746075
C5,1.1705655887204465,0.6931094461350256,1.4526704202479408,0.031746031746031744,0.16535845107273678
C6,0.8507349482397544,0.5508871819215955,1.0542908029478966,0.007936507936507936,0.08956916099773243
C7,0.29371637739998846,-0.5489842373322702,0.807983949386621,0.6904761904761905,0.8081128747795414
C7A,0.8003941066682181,0.07638819101293848,0.8058670905512599,0.05555555555555555,0.21944444444444444
C8B,1.2719251584941311,0.8959132052007774,1.4036424677370682,0.007936507936507936,0.08956916099773243
C8G,1.134080773125051,0.6849900279680803,1.2835154946116045,0.015873015873015872,0.1122956645344705
C9,0.4524694962477369,0.08747800306867148,0.6213737617485258,0.15079365079365079,0.33874971789663727
