protein,l2FC,Q1,Q3,p,padj
ABHD11,0.571284977177136,0.36688205629974924,0.7224453575415284,0.015873015873015872,0.03882236902468116
ABHD12B,0.1129431212698897,0.09653950027613067,0.34663273089598334,0.1111111111111111,0.17444856730571015
ABHD14A,-0.29669128416486856,-0.3910561655597071,0.1688898404729393,0.5555555555555556,0.6406252957096084
ABHD14B,1.0694965741270934,0.9595594922726107,1.233026744612868,0.015873015873015872,0.03882236902468116
ABHD16A,0.23656471560746084,0.07197915536458499,0.42339014597938895,0.2857142857142857,0.3744986862121421
ABHD4,0.10094973327271362,-0.13530022810020448,0.3456522580670818,0.7301587301587302,0.7914144417506569
ABHD5A,-1.1193258039362881,-1.2538015238478288,-0.8858040377966194,0.015873015873015872,0.03882236902468116
ABI1A,-0.17898311072869433,-0.20789700821769674,-0.04774864980379068,0.06349206349206349,0.11115626321212045
ABI1B,-0.06050473464292594,-0.24578727688661672,-0.001570183386883528,0.2857142857142857,0.3744986862121421
ABI2B,-0.10487912086388462,-0.21442801339827877,0.055445151425213446,0.9047619047619047,0.9272234476594151
ABI3,0.12743125217489037,-0.12019032868893653,0.3637286078030062,0.5555555555555556,0.6406252957096084
ABL1,0.28468224465781056,-0.010897546054369656,0.8654422833657969,0.4126984126984127,0.5053297619765336
ABR,0.4378227393899401,0.12299749888725042,0.47920291206365917,0.031746031746031744,0.06471563833804123
ABT1,-0.5621194109575143,-0.6434760216342239,-0.5197154319221955,0.015873015873015872,0.03882236902468116
ACAA1,-0.3175566481805028,-0.4129744502613981,-0.11882587155133884,0.06349206349206349,0.11115626321212045
ACAA2,0.1125516587305917,-0.13595618471955273,0.3087297882636504,0.9047619047619049,0.9272234476594151
ACACA,-0.6552054059304524,-0.8125535391036816,-0.2987331945691367,0.06349206349206349,0.11115626321212045
ACACB,0.04766595933174855,-0.027208565066319856,0.21113334678526297,0.5555555555555556,0.6406252957096084
ACAD11,-0.34782659989108566,-0.6282617887338278,0.20945674769141487,0.5555555555555556,0.6406252957096084
ACAD8,0.7984485734856683,0.57784632090131,0.9453667588829164,0.015873015873015872,0.03882236902468116
ACAD9,0.7085935402747232,0.45567524033546025,1.033586046699515,0.015873015873015872,0.03882236902468116
ACADL,0.09921649778450714,-0.3708302834331869,0.6660296550145866,0.7301587301587302,0.7914144417506569
ACADM,-0.42652571339140977,-0.6574425724829629,0.15094992744610192,0.5555555555555556,0.6406252957096084
ACADS,0.2726222448114193,-0.04670498970175796,0.46483715259599734,0.4126984126984127,0.5053297619765336
ACADSB,0.2641380352148417,0.09690674154251244,0.5281028749905632,0.06349206349206349,0.11115626321212045
ACADVL,-0.38978334428892936,-0.6042187805157218,0.05680802910647387,0.4126984126984127,0.5053297619765336
ACAP1,0.1606973865211927,0.015216039706348106,0.2611536211067236,0.19047619047619047,0.2713073447346538
ACAP2,0.378162197543535,0.2863809110642128,0.5585024260625442,0.015873015873015872,0.03882236902468116
ACAP3B,0.4133684672654212,0.18743162119265921,0.5609525289602786,0.015873015873015872,0.03882236902468116
ACAT1,0.36900546107570875,0.17758708488631392,0.42505311441042526,0.06349206349206349,0.11115626321212045
ACAT2,-0.24981013249829687,-0.6734038425971667,-0.16609482565864475,0.1111111111111111,0.17444856730571015
ACBD3,0.9934644979531999,0.8752272915749035,1.1675920998919125,0.015873015873015872,0.03882236902468116
ACBD4,-1.1253367024787977,-1.4751677123701037,-0.8957217215928646,0.015873015873015872,0.03882236902468116
ACBD5A,0.7999591197327511,0.7043754440347301,0.972707865766119,0.015873015873015872,0.03882236902468116
ACBD6,0.666619256791666,0.5177914595630018,0.6876126986436653,0.015873015873015872,0.03882236902468116
ACCS,-0.04934447407499931,-0.17303654253264433,0.023892857510403154,0.4126984126984127,0.5053297619765336
ACD,-0.15060262909934252,-0.35679686253578735,-0.052740185927227845,0.19047619047619047,0.2713073447346538
ACE,0.14576739098386682,-0.02801130913886052,0.39559585647041917,0.2857142857142857,0.3744986862121421
ACIN1,-0.2066612074087928,-0.23578930754149585,-0.06743253176353647,0.2857142857142857,0.3744986862121421
ACIN1B,-0.5083299655096241,-0.5534751770287105,-0.4291270845522108,0.015873015873015872,0.03882236902468116
ACLY,0.14023562629746777,-0.05924249388563396,0.16670758718149958,0.9047619047619049,0.9272234476594151
ACLYA,0.27178421706268097,-0.19540030744521664,0.5468593047437817,0.7301587301587302,0.7914144417506569
ACN9,-0.5164387849636327,-0.6126894740135178,-0.3503390482626383,0.015873015873015872,0.03882236902468116
ACO1,0.570599591676757,0.43602496198138496,0.5984408279842945,0.015873015873015872,0.03882236902468116
ACO2,0.3715118099941144,0.19794581921821397,0.5541844777021154,0.06349206349206349,0.11115626321212045
ACOT11,-1.168493019929148,-1.3467516158943678,-1.0456062540271116,0.015873015873015872,0.03882236902468116
ACOT13,-2.161304973584821,-4.089743567282733,-0.5493389934246156,0.015873015873015872,0.03882236902468116
ACOT9,-0.3161714717056583,-0.45196024052461325,-0.2463383426501986,0.015873015873015872,0.03882236902468116
ACOX1,-0.9558346325866083,-1.10358491670166,0.13088509596506803,0.4126984126984127,0.5053297619765336
ACOX3,-0.062078300667565145,-0.24326826964223702,0.561052484946579,1,1
ACP1,0.19946727612798654,0.06555363817018733,0.26200140805574534,0.1111111111111111,0.17444856730571015
ACP2,0.09358048730165791,-0.022642820340025516,0.21029163799474215,0.4126984126984127,0.5053297619765336
ACP5A,-0.6639229632057599,-0.9032776075574382,-0.48512844981801084,0.015873015873015872,0.03882236902468116
ACP6,0.23578273093728797,-0.10945487151758693,0.3206907840659792,0.7301587301587302,0.7914144417506569
