protein,l2FC,Q1,Q3,p,padj
ABL1,0.1042833212730585,0.022453204999619558,0.7999911429620497,0.2222222222222222,0.32486384030327026
ABR,0.42010366427775025,0.10465377171831136,0.4578773471510722,0.031746031746031744,0.08356167765187983
ABT1,-0.5202429561659301,-0.6271626064800806,-0.44448972322480884,0.007936507936507936,0.034027966263558404
ACAA1,-0.22229465605348153,-0.29389092759683066,0.06527263237077108,0.30952380952380953,0.4197668650793651
ACAA2,0.2605213710671386,-0.03541805360595163,0.5724589971297398,0.5476190476190477,0.6446497917546431
ACACA,-0.5865924940194525,-0.77713184478079,-0.295203994450171,0.031746031746031744,0.08356167765187983
ACACB,0.026770427200307978,-0.06185465699223158,0.21084811743491017,0.5476190476190477,0.6446497917546431
ACAD11,-0.17496780701926085,-0.5510728410413215,0.32737434044395997,1,1
ACAD8,0.739878468274501,0.5270052413778181,0.9325179729508903,0.007936507936507936,0.034027966263558404
ACAD9,0.49861821225372793,0.3534878383022928,0.9604286758025573,0.015873015873015872,0.051195958770994504
ACADL,0.19800610499611082,-0.2114571884637897,1.1258939988850791,0.42063492063492064,0.5304952333640859
ACADM,-0.2715653022659801,-0.5814861245168395,0.2511799968447086,1,1
ACADS,0.3797649629828186,0.08913573417555298,0.48908999644207896,0.2222222222222222,0.32486384030327026
ACADSB,0.2928328601247401,0.1703211852771993,0.5092052729356169,0.031746031746031744,0.08356167765187983
ACADVL,-0.1803934836042096,-0.5555485438638996,0.05608487062859879,0.30952380952380953,0.4197668650793651
ACAP1,0.10925034171011205,0.006815254217070077,0.2553965949594499,0.15079365079365079,0.24347078842666725
ACAP2,0.29649637948060814,0.2905672762967271,0.49602691787647046,0.007936507936507936,0.034027966263558404
ACAP3B,0.40987661988190105,0.18219385011737899,0.54528107040578,0.007936507936507936,0.034027966263558404
ACAT1,0.42385201420616525,0.21840967547208479,0.5083097855791721,0.031746031746031744,0.08356167765187983
ACAT2,-0.265818508595288,-0.6974164067426507,-0.1845887413923002,0.05555555555555555,0.1246639413692778
ACBD3,0.9731007387521498,0.7552900561683078,1.1380818498428393,0.15079365079365079,0.24347078842666725
ACBD4,-0.9656230395099996,-1.3831290448289515,-0.6522552922503007,0.007936507936507936,0.034027966263558404
ACBD5A,0.7385731447198811,0.5211700768828216,0.9584387305544411,0.007936507936507936,0.034027966263558404
ACBD6,0.6495853992460283,0.38991958448137964,0.6771603373239401,0.007936507936507936,0.034027966263558404
ACCS,-0.032154614505369494,-0.16189578169635865,0.027181881657941886,0.6904761904761905,0.7649359858490934
ACD,-0.14173209132187914,-0.3312447700191701,0.02461741226340841,0.5476190476190477,0.6446497917546431
ACE,0.1572676267965818,0.027477965016071693,0.93985879363305,0.15079365079365079,0.24347078842666725
ACIN1,-0.1827062415133227,-0.23026999968081796,0.05887817860861588,0.6904761904761905,0.7649359858490934
ACIN1B,-0.48560111092803027,-0.552116779618764,-0.38419864372577095,0.015873015873015872,0.051195958770994504
