protein,l2FC,Q1,Q3,p,padj
APOH,-0.0758224478794638,-0.5487500290075369,0.11549072189560228,0.4126984126984127,0.5653729699972474
ARID1A,-0.2249643958381462,-0.45448169651938475,0.18718521459419657,0.5555555555555556,0.6822107081174439
ARPC5B,0.33760657027760743,0.16482161470223433,0.5726640724993448,0.19047619047619047,0.3368869936034115
ATIC,-0.5365151292631225,-1.2064179082510198,-0.28908875137118395,0.06349206349206349,0.15923406399596876
ATP5B,0.40640821562606355,-0.1625582065136344,1.175124655133307,0.9047619047619049,0.946704509618417
B2M,-0.05413009733369023,-1.0233726558323917,0.35869438277668175,0.5555555555555556,0.6822107081174439
BHMT,-1.3193824934644205,-1.5136788097485612,-0.6734709336723821,0.031746031746031744,0.10825625214114422
BLVRB,0.05660524866539518,-0.36482828023099145,0.8811894644974734,1,1
BTD,-0.020633033845513182,-0.17879920535372396,1.023787082514295,0.7301587301587302,0.8220789503449837
BX571880.1,2.806427145795757,2.2527624441330696,3.22473720016822,0.015873015873015872,0.075998075998076
C1QB,1.5128343853528001,0.9549464437829855,1.6750161190724677,0.015873015873015872,0.075998075998076
C1QC,0.9648873414229158,0.7220682039943815,1.0373115983576149,0.015873015873015872,0.075998075998076
C1S,-0.3035188914780882,-0.5515322611451721,0.3138610793535985,0.5555555555555556,0.6822107081174439
C2,0.27369737570722563,0.0047957081483822606,0.6972490016542325,0.2857142857142857,0.45445829338446786
C5,1.3001568500947052,0.9371566248668355,1.5168407990069896,0.015873015873015872,0.075998075998076
C6,1.0640565369938741,0.6379315550490308,1.2832814687629241,0.015873015873015872,0.075998075998076
C7,0.4935832225955359,0.05289270086995934,0.8548171667678233,0.2857142857142857,0.45445829338446786
C7A,0.8031305986097372,0.39243903986574846,0.8206801128966301,0.031746031746031744,0.10825625214114422
C8B,1.1130573031824582,0.8337673330007416,1.3334143832711627,0.015873015873015872,0.075998075998076
C8G,1.0347876384478578,0.5949183349585265,1.1721803464058667,0.031746031746031744,0.10825625214114422
C9,0.5066334327798216,0.23730931928014787,0.6410631383382972,0.031746031746031744,0.10825625214114422
C9H2ORF76,-0.8468882485965974,-1.0373802852310403,-0.505862256865774,0.015873015873015872,0.075998075998076
CABZ01044048.1,0.42738055581152423,-0.05348909313024297,0.8496823481075957,0.4126984126984127,0.5653729699972474
CABZ01073085.1,-0.82799322199455,-1.1655580604590328,-0.6257525333791953,0.015873015873015872,0.075998075998076
CADM4,0.020725115825438678,-0.22586071893213422,0.8550990035702681,0.9047619047619049,0.946704509618417
CAHZ,0.44697254591023494,-0.12892373270994018,1.0806315002940448,0.5555555555555556,0.6822107081174439
CALD1L,0.0352555056805155,-0.3337538232247823,1.1731680569419543,0.7301587301587302,0.8220789503449837
CAP1,-0.4061498808459234,-0.718034282888794,0.2032025411159144,0.4126984126984127,0.5653729699972474
CAPZB,-0.5926208661780699,-0.852947021468689,-0.07218107024616227,0.19047619047619047,0.3368869936034115
CBR1,-1.1967478945393388,-1.3774127826792526,-0.45000207162995665,0.2857142857142857,0.45445829338446786
CCT3,-0.775299557908923,-1.0584116325041082,-0.33156222260256385,0.015873015873015872,0.075998075998076
CCT7,-0.7506251458115312,-1.3058366189342312,-0.6243435277973552,0.015873015873015872,0.075998075998076
CDH5,-0.2043155998840227,-0.62827501403835,0.022506617238087667,0.4126984126984127,0.5653729699972474
CFD,1.0245775128636154,0.34715858731479443,1.2661577579021932,0.06349206349206349,0.15923406399596876
CFHR3,1.4786593843638727,0.8293639033323643,1.589294909955493,0.015873015873015872,0.075998075998076
CFL1,0.47373432093152346,0.28769725587837325,0.5563859215735194,0.19047619047619047,0.3368869936034115
CFL1L,0.26426404234323897,-0.04969259827855854,0.7318013901763969,0.2857142857142857,0.45445829338446786
CFL2,-0.3551682710659172,-0.6335972914871508,0.0463283875315712,0.4126984126984127,0.5653729699972474
CFP,0.7572902731536999,0.49146191116870686,0.8769562391885772,0.015873015873015872,0.075998075998076
CHMP2BA,1.3157384261058453,0.07500604090506258,2.3120813576161647,0.19047619047619047,0.3368869936034115
CILP,0.236346903708057,-0.3107443059577495,1.1245981780706718,0.5555555555555556,0.6822107081174439
CIRBP,-0.6175971716056363,-0.8320751592026348,-0.4036131255409483,0.06349206349206349,0.15923406399596876
CKB,-0.7677884451088488,-1.38367499553968,-0.2268116998190921,0.19047619047619047,0.3368869936034115
CKMT2,-0.16224923623005694,-0.7321465377544429,0.2585612465548639,0.9047619047619047,0.946704509618417
CLEC3BA,-0.011330186170090073,-0.8160542127964159,0.4864498901347596,1,1
